epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.078,1.0746,1.39664,1.25984,0.64384,0.57372,0.60009,0.40871,1.432,1.58374,1.54925,0.000554851,0.000554851,0.000554851
2,304.778,1.13815,1.22719,1.31389,0.64705,0.61931,0.64387,0.4459,1.32891,1.3195,1.45185,0.00109952,0.00109952,0.00109952
3,456.389,1.11596,1.18921,1.30023,0.66498,0.6462,0.65556,0.46089,1.28955,1.34993,1.41092,0.00163319,0.00163319,0.00163319
4,608.237,1.09062,1.12176,1.27765,0.69621,0.61606,0.66718,0.47906,1.21371,1.25106,1.37053,0.00161749,0.00161749,0.00161749
5,760.23,1.03531,1.04551,1.24814,0.75083,0.66792,0.70821,0.49989,1.24175,1.11702,1.36696,0.00160099,0.00160099,0.00160099
6,912.879,1.03182,0.99889,1.23438,0.69594,0.66326,0.71259,0.49657,1.25429,1.11609,1.39144,0.00158448,0.00158448,0.00158448
7,1065.54,0.99666,0.94163,1.21735,0.74032,0.68853,0.71844,0.51103,1.1893,1.07726,1.32964,0.00156798,0.00156798,0.00156798
8,1218.21,0.9913,0.91967,1.22272,0.7194,0.70411,0.72393,0.51077,1.214,1.05303,1.34748,0.00155148,0.00155148,0.00155148
9,1370.69,0.98679,0.90776,1.21318,0.77994,0.65924,0.72525,0.52286,1.18316,1.03458,1.34345,0.00153497,0.00153497,0.00153497
10,1523.1,0.95964,0.86611,1.19529,0.69183,0.70775,0.72293,0.53028,1.15602,1.00129,1.32681,0.00151847,0.00151847,0.00151847
11,1675.7,0.9628,0.86085,1.19479,0.75505,0.68338,0.73364,0.5192,1.21777,1.01372,1.35161,0.00150197,0.00150197,0.00150197
12,1828.4,0.95188,0.83078,1.18335,0.73645,0.71058,0.73869,0.5433,1.12525,0.99353,1.30156,0.00148546,0.00148546,0.00148546
13,1980.94,0.93723,0.80914,1.17359,0.72973,0.7016,0.74495,0.5346,1.18059,0.98412,1.33741,0.00146896,0.00146896,0.00146896
14,2133.32,0.93068,0.80487,1.17556,0.77445,0.69821,0.74921,0.53754,1.17052,0.96394,1.33619,0.00145246,0.00145246,0.00145246
15,2285.74,0.91273,0.76969,1.16043,0.76472,0.69778,0.75161,0.5344,1.18535,0.96907,1.34161,0.00143595,0.00143595,0.00143595
16,2438.27,0.91072,0.76147,1.15938,0.75175,0.71349,0.75141,0.54054,1.17265,0.9439,1.326,0.00141945,0.00141945,0.00141945
17,2590.68,0.91324,0.75017,1.15807,0.76067,0.7063,0.74338,0.53628,1.18226,0.95838,1.3404,0.00140295,0.00140295,0.00140295
18,2743.4,0.89696,0.74008,1.15033,0.776,0.69018,0.7513,0.55109,1.13494,0.92406,1.32484,0.00138644,0.00138644,0.00138644
19,2896.3,0.88927,0.72535,1.1479,0.75401,0.73257,0.7565,0.54724,1.15721,0.91715,1.3258,0.00136994,0.00136994,0.00136994
20,3049,0.89075,0.72686,1.15034,0.80554,0.69059,0.76135,0.55015,1.17059,0.9323,1.34834,0.00135344,0.00135344,0.00135344
21,3201.65,0.87827,0.69692,1.13844,0.73568,0.71617,0.75078,0.54844,1.15893,0.94283,1.33351,0.00133693,0.00133693,0.00133693
22,3354.38,0.874,0.687,1.13324,0.77028,0.71078,0.76628,0.56507,1.11319,0.89863,1.29122,0.00132043,0.00132043,0.00132043
23,3507.18,0.86958,0.67692,1.1333,0.75222,0.70505,0.75338,0.55206,1.13418,0.95156,1.3163,0.00130393,0.00130393,0.00130393
24,3659.9,0.85792,0.65904,1.12231,0.76347,0.71738,0.76617,0.56275,1.13047,0.90018,1.30428,0.00128742,0.00128742,0.00128742
25,3812.44,0.8623,0.65783,1.12296,0.76703,0.71153,0.76448,0.56745,1.12145,0.90012,1.30077,0.00127092,0.00127092,0.00127092
26,3965.57,0.84741,0.63981,1.11589,0.77563,0.72097,0.76542,0.57081,1.09718,0.89083,1.30158,0.00125442,0.00125442,0.00125442
27,4118.76,0.83091,0.62836,1.10711,0.76993,0.71027,0.75681,0.55782,1.12812,0.91583,1.31589,0.00123791,0.00123791,0.00123791
28,4271.67,0.83519,0.62685,1.11219,0.78752,0.70591,0.75607,0.55818,1.12022,0.90419,1.3087,0.00122141,0.00122141,0.00122141
29,4424.37,0.82586,0.61466,1.10031,0.79051,0.71537,0.76347,0.56613,1.13069,0.88872,1.3248,0.00120491,0.00120491,0.00120491
30,4577.24,0.8287,0.61486,1.10881,0.75764,0.72135,0.75367,0.55684,1.1315,0.89301,1.31583,0.0011884,0.0011884,0.0011884
31,4730.28,0.81195,0.5962,1.09204,0.76339,0.72031,0.76166,0.55601,1.1491,0.90156,1.32275,0.0011719,0.0011719,0.0011719
32,4882.86,0.81944,0.60087,1.09463,0.77043,0.70786,0.7608,0.55361,1.16783,0.93894,1.3375,0.0011554,0.0011554,0.0011554
33,5035.5,0.8143,0.59175,1.09552,0.76396,0.72706,0.76276,0.55777,1.13369,0.87887,1.32429,0.00113889,0.00113889,0.00113889
34,5188.14,0.79484,0.56964,1.08013,0.79959,0.70167,0.76419,0.57056,1.12044,0.8791,1.3225,0.00112239,0.00112239,0.00112239
35,5340.68,0.79165,0.55714,1.07838,0.76901,0.72001,0.76566,0.56611,1.1389,0.88401,1.33114,0.00110589,0.00110589,0.00110589
36,5493.21,0.7955,0.55807,1.0806,0.76944,0.70826,0.74223,0.55181,1.14314,0.91853,1.34178,0.00108938,0.00108938,0.00108938
37,5645.97,0.78569,0.54946,1.07549,0.78481,0.70599,0.75706,0.56826,1.11942,0.91977,1.33157,0.00107288,0.00107288,0.00107288
38,5798.57,0.78189,0.54092,1.06953,0.76976,0.70872,0.75287,0.55788,1.1337,0.93431,1.3375,0.00105638,0.00105638,0.00105638
39,5951.22,0.78006,0.54375,1.06941,0.76341,0.71743,0.75349,0.55847,1.12925,0.9244,1.32049,0.00103987,0.00103987,0.00103987
40,6103.83,0.77216,0.53442,1.0605,0.79722,0.6977,0.75162,0.56156,1.13189,0.91867,1.34337,0.00102337,0.00102337,0.00102337
41,6256.44,0.75833,0.51973,1.05756,0.80959,0.68858,0.75395,0.56894,1.12087,0.91342,1.33778,0.00100687,0.00100687,0.00100687
42,6408.9,0.77313,0.5281,1.06221,0.78382,0.72135,0.75652,0.56551,1.1496,0.90595,1.3436,0.000990365,0.000990365,0.000990365
43,6560.84,0.75827,0.51196,1.05122,0.78583,0.70989,0.75655,0.56901,1.12448,0.89076,1.3493,0.000973861,0.000973861,0.000973861
44,6713.41,0.74737,0.50438,1.0476,0.7688,0.72535,0.75845,0.56656,1.13435,0.90757,1.35887,0.000957358,0.000957358,0.000957358
45,6865.7,0.73777,0.49399,1.04494,0.77058,0.73747,0.76131,0.57555,1.10242,0.90368,1.31813,0.000940855,0.000940855,0.000940855
46,7018.01,0.73984,0.49791,1.0431,0.80677,0.70972,0.75872,0.56765,1.1364,0.91464,1.35538,0.000924352,0.000924352,0.000924352
47,7169.9,0.72473,0.48661,1.03552,0.78243,0.71203,0.74863,0.56808,1.12293,0.94871,1.33554,0.000907848,0.000907848,0.000907848
48,7322.91,0.73065,0.48955,1.03568,0.78479,0.71492,0.7515,0.572,1.12181,0.93769,1.3358,0.000891345,0.000891345,0.000891345
49,7476.43,0.7129,0.47366,1.02844,0.78723,0.71844,0.7531,0.5709,1.12653,0.94029,1.3549,0.000874842,0.000874842,0.000874842
50,7629.76,0.71278,0.46874,1.02883,0.79947,0.69942,0.75425,0.57564,1.10001,0.93594,1.34155,0.000858338,0.000858338,0.000858338
51,7783.32,0.71191,0.47152,1.02522,0.7945,0.71202,0.75615,0.57208,1.12165,0.91941,1.33641,0.000841835,0.000841835,0.000841835
52,7936.13,0.69056,0.4533,1.01494,0.77705,0.71705,0.75468,0.56983,1.12588,0.94723,1.35943,0.000825332,0.000825332,0.000825332
53,8089.16,0.69818,0.45838,1.01685,0.7886,0.71146,0.75184,0.57631,1.08751,0.92306,1.33318,0.000808828,0.000808828,0.000808828
54,8242.14,0.6976,0.45595,1.01502,0.84018,0.68152,0.74884,0.57828,1.09006,0.92379,1.34567,0.000792325,0.000792325,0.000792325
55,8395.18,0.6927,0.45581,1.01816,0.80272,0.7138,0.75507,0.57644,1.10612,0.91704,1.36044,0.000775822,0.000775822,0.000775822
56,8547.28,0.68473,0.44751,1.01097,0.80989,0.69751,0.75267,0.57551,1.09962,0.94124,1.35482,0.000759318,0.000759318,0.000759318
